file_name,max,min,one_sigma1,one_sigma2,outlier_cnt_mean,div60,peak,tail,date,class,label_first,label_second,label_third,label_fourth,real_label,log_label,cam,pred_log,pred_real
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_240_2_cam3.tif,29.25336666666667,28.99131944444445,29.19227635396041,29.06610809048405,22,179.14050358641978,1758716,150.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_120_1_cam3.tif,31.60724444444445,31.342305555555555,31.537659373011238,31.42534025661839,15,200.542782939815,1476284,181.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_0_1_cam3.tif,30.675902777777786,30.49643333333333,30.627270600848032,30.550324676929744,17,84.29365579089517,1777639,122.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_0_2_cam3.tif,30.75033333333333,30.551016666666666,30.68283770477475,30.59386831374377,17,88.15249470756174,1743793,123.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_0_3_cam3.tif,30.76625,30.53264166666667,30.700044342713266,30.598870749879328,18,92.90613783410505,1705101,123.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_120_3_cam3.tif,31.60811944444445,31.3502,31.534973631096893,31.40477692445865,22,203.2005753503085,1501455,177.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_120_2_cam3.tif,31.58699444444445,31.33104166666667,31.54446118176323,31.431694466384922,18,202.43084080787074,1490170,159.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_240_1_cam3.tif,29.24446666666667,28.976947222222233,29.19025122759111,29.05848145759407,19,179.46460581095695,1772911,126.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam3(10^1=9.5) (10^2=140.5)/107_bioref_240_3_cam3.tif,29.26133055555556,29.026111111111113,29.211441876464573,29.09678414205395,27,179.0545822785493,1759968,146.0,190522,6,1,6.0,,,14050000.0,7.1476763242410986,cam3,7.150031306914959,14126393.736548636
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190610/cam3(10^1=17) (10^2=130.5)/107_bioref_240_2_cam3.tif,29.49041666666667,29.15273333333333,29.359299558406395,29.22120525640842,15,197.25960567129647,1739550,155.0,190610,6,1,6.0,,,13050000.0,7.1156105116743,cam3,7.150031306914959,14126393.736548636
