file_name,max,min,one_sigma1,one_sigma2,outlier_cnt_mean,div60,peak,tail,cam,pred_first,pred_second,pred_third,pred_fourth,new_class,pred_log,pred_real
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/101_bioref_0_3_cam3.tif,26.762144444444445,26.726875,26.754534345382037,26.73743880276613,21,2.8125914953703766,8164034,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/101_bioref_0_2_cam3.tif,26.70223888888889,26.67785,26.696670035851284,26.68513579748205,17,2.8870993325617285,8152626,15.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/101_bioref_0_1_cam3.tif,26.670366666666666,26.641466666666666,26.66336311876883,26.651153084934894,19,3.1214806242283983,8166543,15.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/103_bioref_120_3_cam3.tif,26.931444444444452,26.899655555555555,26.92487953326259,26.910993151922593,24,1.8791521720678976,8159868,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/104_bioref_120_2_cam3.tif,27.89700833333333,27.865436111111112,27.885642621891858,27.873947378108145,15,2.1117947206790144,7967816,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/104_bioref_120_3_cam3.tif,27.87968333333333,27.838775,27.86815325134597,27.85143934124661,23,2.10886885339506,7971015,19.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/101_bioref_120_1_cam3.tif,30.15639166666667,30.13051111111111,30.14681585110673,30.136394426671057,19,2.534695445216049,7907921,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/104_bioref_120_1_cam3.tif,27.938241666666666,27.904330555555557,27.93297165328359,27.917291031901595,26,2.1352572970679,7953355,19.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/103_bioref_120_1_cam3.tif,27.062572222222233,27.034263888888887,27.055467842403175,27.04317975018941,21,1.9770597978395048,8119459,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190513/cam3(10^1=14.5) (10^2=173)/101_bioref_120_3_cam3.tif,30.59480555555556,30.550125,30.58863560827071,30.56842078061818,15,2.6891554066358,7868755,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/101_bioref_120_2_cam3.tif,30.544963888888887,30.51878888888889,30.534807838263788,30.52446169877325,19,2.0135352785493827,7884759,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/101_bioref_0_3_cam3.tif,26.940072222222234,26.918230555555557,26.933328764751128,26.922957346359983,21,2.086211149691356,8174310,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/101_bioref_0_2_cam3.tif,26.95825833333333,26.935002777777786,26.951544184687805,26.941309796793675,19,2.1774235393518544,8166326,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/101_bioref_0_1_cam3.tif,26.993777777777765,26.965097222222226,26.98554705109485,26.97289322668293,20,2.2645017245370327,8168696,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/103_bioref_120_3_cam3.tif,29.00924444444445,28.981119444444445,29.004128319076123,28.993331032775732,19,1.9237357013888918,7975615,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/101_bioref_120_1_cam3.tif,30.60471111111111,30.572588888888887,30.59493819010212,30.582846624712698,20,2.033112438271606,7881170,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/103_bioref_120_1_cam3.tif,29.00880833333333,28.98551388888889,29.001630517002862,28.990767353367513,19,1.9641767445987641,7959160,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/102_bioref_120_2_cam3.tif,26.632891666666666,26.607641666666666,26.62650696166997,26.616111186478186,14,1.7875861959876562,8196292,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190522/cam3(10^1=9.5) (10^2=140.5)/103_bioref_120_2_cam3.tif,28.995769444444445,28.97690833333333,28.99142818320553,28.98237320568336,21,1.9342704776234585,7966387,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_120_2_cam3.tif,29.114002777777767,29.09271111111111,29.107073817362004,29.09909896041577,20,1.9314614598765447,7972693,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_0_3_cam3.tif,26.221425,26.198925,26.21325291589524,26.20423699151217,19,1.8638101890432053,8214544,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_240_3_cam3.tif,26.17639722222221,26.161344444444445,26.1731273632887,26.16510059967427,21,1.7065093688271629,8227834,19.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_0_2_cam3.tif,26.278191666666668,26.261775,26.275752924165683,26.269083372130623,22,1.839963313271608,8219282,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_0_1_cam3.tif,26.25670833333333,26.234827777777767,26.252010853808113,26.24398442396966,19,1.8718872291666693,8222675,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/102_bioref_120_1_cam3.tif,27.093438888888887,27.069127777777766,27.086840382742,27.076062672813567,20,1.839070442129631,8132500,16.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_240_2_cam3.tif,26.164677777777786,26.14364444444445,26.158532888101355,26.14977766745421,20,1.7111638425925932,8234009,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/103_bioref_120_3_cam3.tif,29.991302777777786,29.967352777777766,29.984580958756514,29.972338670873114,21,1.96786018209876,7891426,19.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
../test/inputs/190610/cam3(10^1=17) (10^2=130.5)/101_bioref_240_1_cam3.tif,26.176913888888887,26.15611944444445,26.16956858578193,26.160840766069914,18,1.7026080578703675,8232080,17.0,cam3,0,,0.0,0.0,0.0,1.2245462655597095,16.77050983124842
